City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
165,Luderitz,NA,-26.6481,15.1594,59.58,86,5,13.02,clear sky
166,Iqaluit,CA,63.7506,-68.5145,27.7,68,100,17.0,overcast clouds
167,Port Hardy,CA,50.6996,-127.4199,42.98,100,90,2.3,light rain
168,Birzai,LT,56.2,24.75,29.32,67,90,10.74,overcast clouds
169,Chepareria,KE,1.3077,35.2039,60.17,56,100,5.23,overcast clouds
170,Cherskiy,RU,68.75,161.3,-32.39,100,15,2.21,few clouds
171,Cape Town,ZA,-33.9258,18.4232,63.1,66,0,24.16,clear sky
172,Tabou,CI,4.423,-7.3528,78.42,83,5,4.12,clear sky
173,Meybod,IR,32.2501,54.0166,55.17,78,2,0.6,clear sky
174,Apastovo,RU,55.2029,48.5109,23.31,90,100,14.79,overcast clouds
175,Cockburn Town,TC,21.4612,-71.1419,81.03,76,4,12.17,clear sky
176,Diego De Almagro,CL,-26.3667,-70.05,64.42,34,99,2.35,overcast clouds
177,Hilo,US,19.7297,-155.09,84.27,92,90,6.91,light rain
178,Nanyamba,TZ,-10.6833,39.8333,67.42,97,60,2.77,broken clouds
179,Mikuni,JP,36.2171,136.1519,51.24,64,100,24.14,light rain
180,Sao Joao Da Barra,BR,-21.6403,-41.0511,69.15,70,48,4.76,scattered clouds
181,Lorengau,PG,-2.0226,147.2712,82.15,79,100,11.01,overcast clouds
182,Kaitangata,NZ,-46.2817,169.8464,57.85,56,64,6.49,broken clouds
183,Eshowe,ZA,-28.8865,31.4699,63.25,94,100,4.27,light rain
184,Tuktoyaktuk,CA,69.4541,-133.0374,-7.6,77,40,6.91,scattered clouds
185,Arroyo,ES,41.6096,-4.7969,41.72,90,90,1.01,overcast clouds
186,Waingapu,ID,-9.6567,120.2641,86.81,60,98,5.21,overcast clouds
187,Demmin,DE,53.9076,13.0314,47.03,91,96,12.88,overcast clouds
188,Palu,ID,-0.8917,119.8707,90.09,59,17,2.13,few clouds
189,Pochutla,MX,15.7432,-96.4661,79.65,87,97,3.89,overcast clouds
190,Ancud,CL,-41.8697,-73.8203,53.13,89,5,6.31,clear sky
191,Athabasca,CA,54.7169,-113.2854,30.02,89,98,5.88,overcast clouds
192,Oranjemund,NA,-28.55,16.4333,62.85,83,100,8.68,overcast clouds
193,Kahului,US,20.8947,-156.47,79.86,93,43,12.73,scattered clouds
194,Kombissiri,BF,12.0656,-1.3375,74.39,22,4,5.99,clear sky
195,Kikwit,CD,-5.041,18.8162,68.92,96,100,1.66,overcast clouds
196,Abohar,IN,30.15,74.1833,59.92,22,0,3.56,clear sky
197,Comodoro Rivadavia,AR,-45.8667,-67.5,53.74,47,97,16.78,overcast clouds
198,Iquique,CL,-20.2208,-70.1431,63.93,72,96,1.41,overcast clouds
199,Cabo San Lucas,MX,22.8909,-109.9124,76.51,74,25,3.0,scattered clouds
200,Rutana,BI,-3.8667,30.1,56.64,89,79,2.71,light rain
201,Meulaboh,ID,4.1363,96.1285,76.93,87,100,3.06,overcast clouds
202,Molina,CL,-35.1167,-71.2833,66.74,28,0,5.01,clear sky
203,Lebu,CL,-37.6167,-73.65,54.93,84,0,20.31,clear sky
204,Quatre Cocos,MU,-20.2078,57.7625,73.09,72,0,7.16,clear sky
205,Hasaki,JP,35.7333,140.8333,59.4,71,100,16.62,overcast clouds
206,Bluff,NZ,-46.6,168.3333,55.6,68,45,12.28,scattered clouds
207,Kaeo,NZ,-35.1,173.7833,75.33,67,92,3.49,overcast clouds
208,Buala,SB,-8.145,159.5921,84.72,74,64,11.54,moderate rain
209,Takoradi,GH,4.8845,-1.7554,78.96,83,31,2.59,light rain
210,Maine-Soroa,NE,13.2114,12.0241,76.23,23,0,9.46,clear sky
211,Broome,US,42.2506,-75.833,31.62,69,1,1.99,clear sky
212,Inirida,CO,3.8653,-67.9239,73.63,97,95,1.77,moderate rain
213,Ushtobe,KZ,45.2514,77.9838,34.39,78,100,3.8,overcast clouds
214,Taft,IR,31.7471,54.2088,55.22,64,33,3.96,scattered clouds
215,Belaya Gora,RU,68.5333,146.4167,-17.59,99,100,4.38,overcast clouds
216,Lavrentiya,RU,65.5833,-171.0,-1.37,92,10,9.62,clear sky
217,Beyneu,KZ,45.3167,55.2,42.21,79,16,7.78,few clouds
218,Ginda,IN,30.6945,78.4932,47.7,21,0,7.58,clear sky
219,Bainbridge,US,47.6262,-122.5212,47.77,88,90,7.0,overcast clouds
220,Taoudenni,ML,22.6783,-3.9836,79.29,35,100,7.65,overcast clouds
221,Chokurdakh,RU,70.6333,147.9167,-14.89,100,100,4.76,overcast clouds
222,Nautla,MX,20.2167,-96.7833,73.99,86,61,10.96,broken clouds
223,Sandpoint,US,48.2766,-116.5533,36.34,94,90,0.0,mist
224,Porto Novo,BJ,6.4965,2.6036,79.11,85,35,2.86,light rain
225,Buin,CL,-33.7333,-70.75,77.74,43,0,2.15,clear sky
226,Kirakira,SB,-10.4544,161.9205,84.49,73,77,7.96,broken clouds
227,Clyde River,CA,70.4692,-68.5914,14.23,92,100,21.85,light snow
228,Lafia,NG,8.4833,8.5167,77.45,49,100,2.57,overcast clouds
229,Victor Harbor,AU,-35.5667,138.6167,70.72,77,100,2.66,light rain
230,Talnakh,RU,69.4865,88.3972,5.99,91,100,8.57,overcast clouds
231,Den Helder,NL,52.9599,4.7593,49.98,88,75,8.99,broken clouds
232,Sorland,NO,67.667,12.6934,41.18,66,100,27.51,overcast clouds
233,Natal,BR,-5.795,-35.2094,79.45,83,75,4.61,broken clouds
234,Bambous Virieux,MU,-20.3428,57.7575,73.22,94,40,3.44,scattered clouds
235,Ternate,ID,0.8,127.4,84.38,73,75,5.37,broken clouds
236,Beloha,MG,-25.1667,45.05,65.73,98,56,6.76,broken clouds
237,Carndonagh,IE,55.25,-7.2667,46.56,81,100,5.7,overcast clouds
238,Akyab,MM,20.15,92.9,76.66,68,8,6.46,clear sky
239,Mount Gambier,AU,-37.8333,140.7667,66.09,78,100,10.6,overcast clouds
240,Novopokrovka,UA,49.8425,36.5477,32.38,67,100,5.64,overcast clouds
241,Constitucion,CL,-35.3333,-72.4167,61.52,62,0,11.74,clear sky
242,Masuda,JP,34.6667,131.85,51.53,65,100,19.46,overcast clouds
243,Birao,CF,10.2849,22.7882,69.48,25,100,7.43,overcast clouds
244,Maun,BW,-19.9833,23.4167,67.57,86,100,5.03,overcast clouds
245,Afzalpur,IN,17.2,76.35,75.4,85,86,6.49,overcast clouds
246,Tuatapere,NZ,-46.1333,167.6833,58.3,60,53,7.49,broken clouds
247,Chapais,CA,49.7834,-74.8492,11.98,89,100,12.28,overcast clouds
248,Nadvoitsy,RU,63.8667,34.3167,15.53,80,48,8.41,scattered clouds
249,Ketchikan,US,55.3422,-131.6461,38.75,77,98,9.13,light rain
250,Kruisfontein,ZA,-34.0033,24.7314,59.88,88,100,12.53,light rain
251,Te Anau,NZ,-45.4167,167.7167,61.63,48,4,3.56,clear sky
252,Mahebourg,MU,-20.4081,57.7,73.26,94,40,3.44,scattered clouds
253,Iralaya,HN,15.0,-83.2333,76.53,81,45,8.72,scattered clouds
254,Saint Anthony,US,45.0205,-93.218,31.14,54,57,1.01,broken clouds
255,Marawi,PH,7.9986,124.2928,75.65,77,100,2.84,light rain
256,Bengkulu,ID,-3.8004,102.2655,79.74,76,99,1.68,overcast clouds
257,Chimore,BO,-16.9833,-65.1333,79.32,72,100,2.19,overcast clouds
258,Ishigaki,JP,24.3448,124.1572,69.64,73,100,24.65,overcast clouds
259,Axim,GH,4.8699,-2.2405,78.57,83,44,1.36,light rain
260,Naze,JP,28.3667,129.4833,60.44,64,80,14.18,broken clouds
261,Port Keats,AU,-14.25,129.55,91.74,58,100,9.64,overcast clouds
262,Ilulissat,GL,69.2167,-51.1,15.82,73,20,11.5,few clouds
263,Farafenni,GM,13.5667,-15.6,78.53,29,97,3.33,overcast clouds
